GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score
DOOM 3,3.19,"10,951",3.0,25-30 hours,4.0,12 Mar 21,3190,1000
Battlefield 1943,1.26,"92,715",29.0,20-25 hours,4.0,09 Nov 20,252,200
Unravel,2.89,"120,048",4.6,12-15 hours,4.0,09 Nov 20,2890,1000
Zombie Army 4: Dead War,3.03,"77,476",0.0,30-35 hours,4.0,06 Apr 21,3664,1210
Lightning Returns: Final Fantasy XIII,1.92,"22,085",12.6,40-50 hours,4.0,13 Mar 22,1916,1000
Enter the Gungeon,5.04,"75,269",1.0,80-100 hours,4.0,16 Dec 19,6295,1250
Football Manager 2022 Xbox Edition,4.07,"9,424",0.9,200-300 hours,4.0,29 Oct 21,4067,1000
Quake,4.95,"49,226",2.2,2-3 hours,4.0,19 Aug 21,4948,1000
Wasteland 3,4.94,"47,074",0.1,120-150 hours,4.0,28 Aug 20,7365,1490
Skate 3,2.97,"204,395",0.6,25-30 hours,4.0,09 Nov 20,4459,1500
Outlast 2,5.07,"35,332",0.8,35-40 hours,4.0,06 May 21,5071,1000
Archvale,1.97,"16,742",15.6,6-8 hours,4.0,02 Dec 21,1965,1000
Ryse: Son of Rome,2.33,"321,034",1.8,40-50 hours,4.0,06 Sep 21,4665,2000
New Super Lucky's Tale,2.08,"72,184",7.8,10-12 hours,4.0,21 Aug 20,2078,1000
Carrion,2.03,"90,957",15.1,6-8 hours,3.9,23 Jul 20,2027,1000
Remnant: From the Ashes,2.48,"99,649",0.6,50-60 hours,3.9,16 Dec 19,3724,1500
Terraria,3.52,"132,799",0.4,80-100 hours,3.9,19 Jun 19,3910,1110
Dragon Age II,1.70,"109,375",4.8,60-80 hours,3.9,09 Nov 20,2335,1370
Lost In Random,3.12,"14,094",1.8,15-20 hours,3.9,13 Apr 22,3121,1000
Peggle 2,2.23,"154,283",3.6,15-20 hours,3.9,09 Nov 20,3237,1450
Superliminal,3.60,"41,853",2.6,8-10 hours,3.9,16 Sep 21,4320,1200
Crysis,1.54,"52,625",17.1,15-20 hours,3.9,09 Nov 20,1541,1000
The Wild at Heart,2.52,"15,755",9.6,15-20 hours,3.9,27 Mar 21,2523,1000
Farming Simulator 19,2.32,"19,824",5.3,60-80 hours,3.9,15 Jul 21,2317,1000
Pillars of Eternity,2.94,"6,040",1.2,80-100 hours,3.9,19 Dec 19,2944,1000
Monster Sanctuary,3.81,"24,224",3.3,40-50 hours,3.9,01 Dec 20,3807,1000
Danganronpa: Trigger Happy Havoc Anniversary Edition,3.58,"7,028",4.5,20-25 hours,3.9,18 Jan 22,3581,1000
Alice: Madness Returns,2.23,"84,831",6.6,20-25 hours,3.9,09 Nov 20,2232,1000
Maneater,2.01,"143,977",2.4,10-12 hours,3.9,25 May 21,2709,1350
Wreckfest,3.00,"102,053",2.9,20-25 hours,3.9,18 Feb 21,3002,1000
Plants vs. Zombies: Battle for Neighborville,2.60,"50,246",1.9,150-200 hours,3.9,09 Nov 20,2599,1000
Project Wingman,4.03,"9,772",0.9,30-35 hours,3.9,03 Dec 21,4033,1000
Unravel Two,11.13,"59,006",0.4,25-30 hours,3.9,09 Nov 20,11128,1000
Minecraft Dungeons,6.91,"236,552",0.0,15-20 hours,3.9,04 Dec 21,19015,2750
State of Decay 2: Juggernaut Edition,4.65,"276,487",0.2,60-80 hours,3.9,16 Dec 19,11166,2400
The Long Dark,9.30,"51,494",0.1,100-120 hours,3.9,21 Oct 20,11300,1215
Grim Fandango Remastered,1.86,"22,109",18.2,8-10 hours,3.9,29 Oct 20,1860,1000
Two Point Hospital,6.04,"69,530",0.2,100-120 hours,3.9,25 Feb 20,9177,1520
ONE PIECE: PIRATE WARRIORS 4,2.36,"29,588",8.1,25-30 hours,3.9,09 Dec 21,2363,1000
Taiko no Tatsujin: The Drum Master!,5.47,"43,721",1.1,50-60 hours,3.9,27 Jan 22,5471,1000
SUPERHOT: MIND CONTROL DELETE,2.16,"67,235",5.6,10-12 hours,3.9,01 Dec 20,2162,1000
Mass Effect: Andromeda,2.20,"179,302",2.6,80-100 hours,3.9,09 Nov 20,2205,1000
Slime Rancher,2.38,"144,265",3.2,25-30 hours,3.9,01 Dec 20,2377,1000
The Elder Scrolls Online,5.01,"204,295",0.0,1000+ hours,3.9,18 Oct 20,27463,5480
GreedFall,3.52,"37,265",0.5,60-80 hours,3.9,01 Dec 20,3876,1100
Cities: Skylines,4.67,"108,817",0.1,150-200 hours,3.8,21 Oct 20,11208,2400
Grounded,3.44,"61,345",1.1,1-2 hours,3.8,30 Jun 21,4813,1400
Battlefield: Bad Company,2.41,"161,849",0.6,150-200 hours,3.8,09 Nov 20,2414,1000
Lost Words: Beyond the Page,1.49,"11,079",25.9,5-6 hours,3.8,23 Sep 21,1485,1000
The Artful Escape,1.23,"33,785",42.5,3-4 hours,3.8,06 Sep 21,1234,1000
Peggle,3.79,"165,096",0.6,40-50 hours,3.8,09 Nov 20,948,250
DiRT 4,3.95,"79,596",1.0,60-80 hours,3.8,10 Aug 21,3954,1000
Destroy All Humans!,2.32,"106,146",5.3,12-15 hours,3.8,29 Apr 21,2323,1000
Alan Wake's American Nightmare,2.30,"52,250",6.6,8-10 hours,3.8,28 Oct 21,460,200
Dante's Inferno,1.86,"169,302",0.9,15-20 hours,3.8,09 Nov 20,2401,1290
Dreamscaper,5.26,"8,971",1.4,40-50 hours,3.8,03 Feb 22,5264,1000
Final Fantasy XIII,2.53,"134,351",4.9,80-100 hours,3.8,01 Sep 21,2530,1000
The Pedestrian,1.49,"28,084",33.9,3-4 hours,3.8,04 Jan 22,1495,1000
RAGE,2.36,"143,127",1.3,20-25 hours,3.8,13 Jun 21,2945,1250
Fable III,1.85,"325,399",2.8,25-30 hours,3.8,16 Dec 19,2319,1250
Katamari Damacy Reroll,3.51,"33,433",1.3,20-25 hours,3.8,05 Aug 21,3513,1000
Star Wars Battlefront II,2.15,"228,476",1.7,60-80 hours,3.8,09 Nov 20,2247,1045
Mirror's Edge,3.04,"215,161",0.6,25-30 hours,3.8,09 Nov 20,3805,1250
Crysis 2,2.56,"151,209",1.7,50-60 hours,3.8,09 Nov 20,2557,1000
Perfect Dark (Xbox 360),3.33,"85,926",0.8,50-60 hours,3.8,06 Sep 21,667,200
Max: The Curse of Brotherhood,1.80,"167,987",15.5,8-10 hours,3.8,13 Dec 18,1795,1000
Weird West,4.91,"28,059",0.8,35-40 hours,3.8,12 Jan 22,4907,1000
Train Sim World 2,6.98,"17,494",0.0,,3.8,19 Aug 21,35854,5135
